accuracy,precision,recall,f1,train_time_sec,test_time_sec,model,preprocessing,feature_map,entanglement,reps,pca_components
0.9833333333333332,0.6,0.6,0.6,0.005866718292236328,0.0007988452911376953,Logistic Regression,standard,N/A,N/A,N/A,N/A
0.9753333333333334,0.6,0.6,0.6,0.002023601531982422,0.0008803844451904297,SVM RBF,standard,N/A,N/A,N/A,N/A
0.9711666666666666,0.6,0.6,0.6,0.07189755439758301,0.004962635040283203,Random Forest,standard,N/A,N/A,N/A,N/A
0.9631666666666667,0.6,0.6,0.6,0.0012270450592041016,0.0008489131927490234,SVM RBF,minmax,N/A,N/A,N/A,N/A
0.9715,0.6,0.6,0.6,37.80461754798889,18.792027139663695,QSVM,minmax,pauli_zz,full,1,3
0.9711666666666666,0.6,0.6,0.6,0.07546501159667969,0.005682849884033203,Random Forest,minmax,N/A,N/A,N/A,N/A
0.9875,0.6,0.6,0.6,0.005593347549438477,0.0014066696166992188,Logistic Regression,robust,N/A,N/A,N/A,N/A
0.9754999999999999,0.6,0.6,0.6,0.003464365005493164,0.00139923095703125,SVM RBF,robust,N/A,N/A,N/A,N/A
0.9711666666666666,0.6,0.6,0.6,0.0954094409942627,0.006941032409667969,Random Forest,robust,N/A,N/A,N/A,N/A
0.9715,0.6,0.6,0.6,37.442723751068115,18.9069890499115,QSVM,minmax,pauli_zz,circular,1,3
0.9715,0.6,0.6,0.6,37.96375632286072,18.98150029182434,QSVM,minmax,zz,circular,1,3
0.9715,0.6,0.6,0.6,37.87157645225525,18.960953187942504,QSVM,minmax,zz,full,1,3
0.9547446808510639,0.5916666666666667,0.6,0.5957446808510638,44.184339952468875,20.710975646972656,QSVM,minmax,pauli_zz,linear,1,3
0.9547446808510639,0.5916666666666667,0.6,0.5957446808510638,47.00529489517212,29.357957124710083,QSVM,minmax,zz,linear,1,3
0.936050724637681,0.6,0.5652173913043479,0.5818181818181818,0.0031888484954833984,0.0006039619445800781,Logistic Regression,minmax,N/A,N/A,N/A,N/A
0.9153734196731422,0.6,0.5478260869565217,0.5727272727272728,29.761402654647828,14.847245693206787,QSVM,minmax,pauli_z,circular,1,3
0.9153734196731422,0.6,0.5478260869565217,0.5727272727272728,29.995147609710692,14.981080341339112,QSVM,minmax,pauli_z,full,1,3
0.9153734196731422,0.6,0.5478260869565217,0.5727272727272728,30.08466968536377,14.986987352371216,QSVM,minmax,pauli_z,linear,1,3
0.6986581868640148,0.5900000000000001,0.49565217391304345,0.5386489479512735,29.718839597702026,15.331896114349366,QSVM,standard,pauli_z,full,1,3
0.6986581868640148,0.5900000000000001,0.49565217391304345,0.5386489479512735,25.571064281463624,12.86165919303894,QSVM,standard,pauli_z,linear,1,3
0.6986581868640148,0.5900000000000001,0.49565217391304345,0.5386489479512735,65.45344033241273,27.581057453155516,QSVM,standard,pauli_z,circular,1,3
0.7464441874807277,0.5909090909090909,0.49565217391304345,0.5378861788617886,37.07787775993347,18.662513971328735,QSVM,standard,pauli_zz,full,1,3
0.7464441874807277,0.5909090909090909,0.49565217391304345,0.5378861788617886,34.77939295768738,17.554454565048218,QSVM,standard,zz,full,1,3
0.7464441874807277,0.5909090909090909,0.49565217391304345,0.5378861788617886,38.174182176589966,18.891422176361083,QSVM,standard,pauli_zz,circular,1,3
0.7464441874807277,0.5909090909090909,0.49565217391304345,0.5378861788617886,75.83390212059021,39.395083856582644,QSVM,standard,zz,circular,1,3
0.6960528831329016,0.5833333333333333,0.48695652173913045,0.5272340425531915,29.921962785720826,14.924720573425294,QSVM,robust,pauli_z,circular,1,3
0.6960528831329016,0.5833333333333333,0.48695652173913045,0.5272340425531915,29.684119176864623,14.919872808456422,QSVM,robust,pauli_z,linear,1,3
0.6960528831329016,0.5833333333333333,0.48695652173913045,0.5272340425531915,29.74303297996521,14.915676546096801,QSVM,robust,pauli_z,full,1,3
0.673718316373728,0.5517241379310345,0.4695652173913043,0.49743589743589745,56.549272108078,25.113762426376343,QSVM,standard,zz,linear,1,3
0.673718316373728,0.5517241379310345,0.4695652173913043,0.49743589743589745,31.83131060600281,15.92570652961731,QSVM,standard,pauli_zz,linear,1,3
0.6392383595436325,0.5538461538461539,0.43478260869565216,0.4790547798066595,45.641173696517946,24.152002143859864,QSVM,robust,zz,circular,1,3
0.6392383595436325,0.5538461538461539,0.43478260869565216,0.4790547798066595,37.740995740890504,18.86996169090271,QSVM,robust,zz,full,1,3
0.6392383595436325,0.5538461538461539,0.43478260869565216,0.4790547798066595,37.86332373619079,18.900951766967772,QSVM,robust,pauli_zz,full,1,3
0.6392383595436325,0.5538461538461539,0.43478260869565216,0.4790547798066595,37.934007835388186,18.92323236465454,QSVM,robust,pauli_zz,circular,1,3
0.5613424298489054,0.5225806451612903,0.4434782608695652,0.4689458689458689,55.608547401428225,22.22445182800293,QSVM,robust,pauli_zz,linear,1,3
0.5613424298489054,0.5225806451612903,0.4434782608695652,0.4689458689458689,54.26233558654785,30.22352991104126,QSVM,robust,zz,linear,1,3
